Date,Open,High,Low,Close,Volume
2025-12-26 22:15:00,1.36711,1.36712,1.367,1.36703,64
2025-12-26 22:16:00,1.36703,1.36708,1.36703,1.36707,33
2025-12-26 22:17:00,1.36708,1.3671,1.3670200000000001,1.36706,82
2025-12-26 22:18:00,1.3670499999999999,1.36707,1.36687,1.36692,61
2025-12-26 22:19:00,1.36692,1.36707,1.36691,1.36706,75
2025-12-26 22:20:00,1.36704,1.36706,1.36697,1.36704,91
2025-12-26 22:21:00,1.3670499999999999,1.36706,1.3670200000000001,1.36704,63
2025-12-26 22:22:00,1.3670499999999999,1.36706,1.36701,1.36704,41
2025-12-26 22:23:00,1.36703,1.3670499999999999,1.36701,1.36704,24
2025-12-26 22:24:00,1.3670499999999999,1.3670499999999999,1.36701,1.36704,18
2025-12-26 22:25:00,1.36704,1.3670499999999999,1.3670200000000001,1.36703,43
2025-12-26 22:26:00,1.36704,1.36704,1.36693,1.36696,38
2025-12-26 22:27:00,1.36697,1.36704,1.36694,1.36701,89
2025-12-26 22:28:00,1.367,1.36703,1.36693,1.36696,80
2025-12-26 22:29:00,1.36697,1.36706,1.36697,1.3670200000000001,40
2025-12-26 22:30:00,1.3670200000000001,1.36704,1.3669799999999999,1.367,54
2025-12-26 22:31:00,1.36701,1.36704,1.36695,1.36704,32
2025-12-26 22:32:00,1.36704,1.3670499999999999,1.36697,1.36701,65
2025-12-26 22:33:00,1.3670200000000001,1.3670200000000001,1.36695,1.3669799999999999,59
2025-12-26 22:34:00,1.36699,1.36701,1.36697,1.36697,51
2025-12-26 22:35:00,1.36699,1.36699,1.36689,1.36693,43
2025-12-26 22:36:00,1.36691,1.36692,1.36686,1.36688,49
2025-12-26 22:37:00,1.36689,1.36689,1.36684,1.36689,34
2025-12-26 22:38:00,1.36688,1.36688,1.3668,1.36686,98
2025-12-26 22:39:00,1.36687,1.36688,1.36681,1.36684,64
2025-12-26 22:40:00,1.36683,1.36685,1.3668,1.36685,45
2025-12-26 22:41:00,1.36684,1.36687,1.36682,1.36684,70
2025-12-26 22:42:00,1.36683,1.36695,1.36683,1.36693,44
2025-12-26 22:43:00,1.36693,1.36697,1.36691,1.36691,77
2025-12-26 22:44:00,1.3669,1.36694,1.36685,1.3669,102
2025-12-26 22:45:00,1.36691,1.36695,1.3669,1.36693,45
2025-12-26 22:46:00,1.36694,1.3671,1.36694,1.36708,47
2025-12-26 22:47:00,1.36707,1.3670900000000001,1.36703,1.36704,38
2025-12-26 22:48:00,1.3670499999999999,1.36706,1.367,1.36703,31
2025-12-26 22:49:00,1.36703,1.36704,1.3669799999999999,1.36703,23
2025-12-26 22:50:00,1.36704,1.36714,1.3670200000000001,1.36703,84
2025-12-26 22:51:00,1.3670200000000001,1.36704,1.3669799999999999,1.36703,27
2025-12-26 22:52:00,1.3670200000000001,1.36704,1.36692,1.36704,66
2025-12-26 22:53:00,1.36703,1.3670499999999999,1.36694,1.36697,49
2025-12-26 22:54:00,1.36697,1.36701,1.36691,1.36693,64
2025-12-26 22:55:00,1.36694,1.36703,1.36693,1.3670200000000001,117
2025-12-26 22:56:00,1.36701,1.3672,1.3669799999999999,1.36701,87
2025-12-26 22:57:00,1.36701,1.36717,1.367,1.36717,75
2025-12-26 22:58:00,1.36717,1.36724,1.36713,1.36723,48
2025-12-26 22:59:00,1.36723,1.36725,1.36695,1.36696,68
2025-12-26 23:00:00,1.36696,1.36701,1.36685,1.36686,34
2025-12-26 23:01:00,1.36686,1.36691,1.36682,1.3669,58
2025-12-26 23:02:00,1.36691,1.36696,1.36691,1.36693,62
2025-12-26 23:03:00,1.36693,1.36696,1.36693,1.36695,31
2025-12-26 23:04:00,1.36695,1.36699,1.36695,1.36695,75
2025-12-26 23:05:00,1.36695,1.36701,1.36694,1.36695,54
2025-12-26 23:06:00,1.36696,1.36697,1.36694,1.36696,39
2025-12-26 23:07:00,1.36696,1.3669799999999999,1.36693,1.36694,28
2025-12-26 23:08:00,1.36694,1.36697,1.36693,1.36695,91
2025-12-26 23:09:00,1.36695,1.3669799999999999,1.36691,1.36697,83
2025-12-26 23:10:00,1.36697,1.3670499999999999,1.36696,1.3670499999999999,68
2025-12-26 23:11:00,1.3670499999999999,1.36707,1.36694,1.36697,51
2025-12-26 23:12:00,1.36696,1.36697,1.36686,1.36693,27
