Date,Open,High,Low,Close,Volume
2025-12-26 22:15:00,156.492,156.496,156.484,156.487,23
2025-12-26 22:16:00,156.486,156.488,156.481,156.486,37
2025-12-26 22:17:00,156.485,156.496,156.478,156.491,47
2025-12-26 22:18:00,156.491,156.493,156.488,156.492,22
2025-12-26 22:19:00,156.492,156.512,156.492,156.504,49
2025-12-26 22:20:00,156.505,156.519,156.504,156.519,32
2025-12-26 22:21:00,156.518,156.518,156.512,156.516,33
2025-12-26 22:22:00,156.515,156.524,156.513,156.519,40
2025-12-26 22:23:00,156.519,156.526,156.519,156.523,31
2025-12-26 22:24:00,156.523,156.524,156.515,156.516,57
2025-12-26 22:25:00,156.516,156.525,156.516,156.523,31
2025-12-26 22:26:00,156.524,156.524,156.514,156.518,42
2025-12-26 22:27:00,156.518,156.52,156.511,156.517,40
2025-12-26 22:28:00,156.516,156.517,156.502,156.514,66
2025-12-26 22:29:00,156.515,156.52,156.514,156.515,39
2025-12-26 22:30:00,156.514,156.521,156.511,156.516,29
2025-12-26 22:31:00,156.516,156.518,156.513,156.517,13
2025-12-26 22:32:00,156.516,156.519,156.514,156.518,34
2025-12-26 22:33:00,156.518,156.522,156.516,156.518,14
2025-12-26 22:34:00,156.518,156.519,156.515,156.518,15
2025-12-26 22:35:00,156.517,156.52,156.512,156.518,41
2025-12-26 22:36:00,156.516,156.519,156.507,156.508,78
2025-12-26 22:37:00,156.508,156.513,156.503,156.51,20
2025-12-26 22:38:00,156.511,156.511,156.502,156.505,34
2025-12-26 22:39:00,156.502,156.506,156.492,156.496,39
2025-12-26 22:40:00,156.495,156.495,156.486,156.492,34
2025-12-26 22:41:00,156.491,156.491,156.479,156.479,16
2025-12-26 22:42:00,156.479,156.492,156.479,156.492,46
2025-12-26 22:43:00,156.491,156.503,156.491,156.492,45
2025-12-26 22:44:00,156.492,156.499,156.482,156.487,77
2025-12-26 22:45:00,156.487,156.513,156.487,156.509,59
2025-12-26 22:46:00,156.508,156.534,156.508,156.53,44
2025-12-26 22:47:00,156.53,156.53,156.523,156.528,26
2025-12-26 22:48:00,156.529,156.531,156.514,156.517,48
